Id,ExecTime,l2Miss,tlbMiss
6,3907567,4762,8
7,4925433,114,5
8,4328811,9875,31
9,6459595,828,11
0,4019648,532,9
1,4040757,673,16
2,3614676,460,19
3,3661865,107,4
4,6455432,1007,29
5,4566027,1261,19
6,3859946,4767,8
7,4925649,113,5
8,4329027,9879,31
9,6458081,808,11
0,4018162,509,9
1,4048459,656,16
2,3615946,483,19
3,3662432,108,4
4,6456324,1009,29
5,4561757,1233,19
6,3860703,4766,8
7,4925730,130,5
8,4329000,9875,31
9,6457946,813,11
0,4027730,640,9
1,4053702,703,16
2,3617757,537,19
3,3662460,122,4
4,6456945,1028,29
5,4568135,1317,19
6,3860216,4798,8
7,4925460,140,5
8,4328811,9878,31
9,6461568,1049,11
0,4024567,577,9
1,4047622,689,16
2,3613919,445,19
3,3662270,110,4
4,6456784,1012,29
5,4565163,1268,19
6,3859864,4772,8
7,4925297,116,5
8,4328973,9876,31
9,6457838,799,11
0,4017108,509,9
1,4048568,659,16
2,3614541,466,19
3,3662352,107,5
4,6454730,1007,29
5,4562405,1247,19
6,3860108,4774,8
7,4925433,132,5
8,4328810,9878,31
9,6458027,798,11
0,4016945,495,9
1,4040703,668,16
2,3614838,469,19
3,3662378,109,5
4,6452811,999,29
5,4562784,1265,19
6,3859973,4770,8
7,4925325,132,5
8,4328595,9880,31
9,6459135,820,11
0,4017757,505,9
1,4049352,679,16
2,3614054,445,19
3,3662513,109,4
4,6456217,1005,29
5,4564973,1258,19
6,3859757,4769,8
7,4925568,116,5
8,4328270,9876,31
9,6458433,802,11
0,4018540,505,9
1,4041757,655,16
2,3614514,467,19
3,3662298,115,4
4,6454054,1011,29
5,4560270,1218,19
6,3859676,4768,8
7,4925621,119,5
8,4328919,9878,31
9,6458351,791,11
0,4017730,511,9
1,4048054,670,16
2,3614730,462,19
3,3664648,113,4
4,6453162,996,29
5,4560783,1208,19
6,3860055,4767,8
7,4925622,117,5
8,4328784,9876,31
9,6460055,771,11
0,4018243,498,9
1,4041648,673,16
2,3663405,445,19
3,3662459,111,4
4,6454676,1005,29
5,4558297,1199,19
6,3860432,4787,8
7,4925487,135,5
8,4328946,9875,31
9,6457675,783,11
0,4026190,614,9
1,4048540,695,16
2,3617513,538,19
3,3662379,120,4
4,6457000,1033,29
5,4564162,1260,19
6,3860135,4779,8
7,4925487,122,5
8,4328675,9879,31
9,6462135,1083,11
0,4023946,581,9
1,4043837,683,16
2,3614838,469,19
3,3662351,111,5
4,6455297,1019,29
5,4562514,1232,19
6,3860054,4770,8
7,4925487,131,5
8,4328541,9876,31
9,6459891,812,11
0,4019243,534,9
1,4044946,674,16
2,3613406,445,19
3,3662432,108,4
4,6453811,1009,29
5,4562487,1242,19
6,3860270,4775,8
7,4925243,135,5
8,4329081,9879,31
9,6458946,828,11
0,4018973,515,9
1,4048757,654,16
2,3614919,471,19
3,3662108,105,5
4,6455351,1012,29
5,4558541,1200,19
6,3859946,4766,8
7,4925567,129,5
8,4328892,9873,31
9,6458757,839,11
0,4019649,521,9
1,4041757,662,16
2,3614811,462,19
3,3662216,109,4
4,6454297,993,29
5,4559324,1207,19
6,3860973,4751,8
7,4925108,113,5
8,4329081,9873,31
9,6459918,798,11
0,4017703,503,9
1,4043216,664,16
2,3613541,438,19
3,3664810,111,4
4,6453298,1001,29
5,4557216,1193,19
6,3860433,4767,8
7,4925675,115,5
8,4329189,9876,31
9,6458378,794,11
0,4017244,499,9
1,4043406,649,16
2,3614838,462,19
3,3662162,110,4
4,6452459,998,29
5,4556405,1177,19
6,3860405,4768,8
7,4925486,114,5
8,4328946,9874,31
9,6459865,747,11
0,4018540,514,9
1,4044622,663,16
2,3614864,468,19
3,3662406,112,4
4,6455054,999,29
5,4557027,1188,19
6,3859919,4767,8
7,4925108,113,5
8,4328864,9875,31
9,6459405,762,11
0,4025081,600,9
1,4051568,700,16
2,3616513,520,19
3,3662703,121,4
4,6454540,1023,29
5,4563108,1255,19
6,3860000,4779,8
7,4925676,142,5
8,4329351,9882,31
9,6461649,1047,11
0,4025054,591,9
1,4045730,644,16
2,3615946,483,19
3,3662243,107,4
4,6455514,1013,29
5,4556054,1171,19
6,3861135,4769,8
7,4925243,115,5
8,4328919,9877,31
9,6458945,822,11
0,4017541,516,9
1,4048135,665,16
2,3615270,479,19
3,3662838,110,4
4,6451081,987,29
5,4557567,1184,19
6,3861351,4765,8
7,4925325,116,5
8,4328757,9875,31
9,6458649,786,11
0,4017540,502,9
1,4048243,655,16
2,3614514,453,19
3,3662703,110,4
4,6454162,1000,29
5,4557594,1180,19
6,3860540,4773,8
7,4924919,116,5
8,4328676,9876,31
9,6458243,805,11
0,4017405,512,9
1,4046459,631,16
2,3615459,478,19
3,3662270,105,5
4,6453324,996,29
5,4555027,1166,19
6,3860568,4786,8
7,4925379,127,5
8,4328892,9875,31
9,6458405,817,11
0,4017757,507,9
1,4044730,646,16
2,3615162,469,19
3,3662432,109,5
4,6454514,1003,29
5,4554460,1165,19
6,3860405,4768,8
7,4925325,128,5
8,4329108,9877,31
9,6458162,780,11
0,4017622,510,9
1,4048973,658,16
2,3614027,447,19
3,3662135,111,4
4,6454486,995,29
5,4556351,1167,19
6,3860216,4782,8
7,4925216,129,5
8,4328892,9877,31
9,6458297,813,11
0,4018297,505,9
1,4039325,638,16
2,3615163,475,19
3,3662378,107,5
4,6453649,990,29
5,4554973,1150,19
6,3860568,4766,8
7,4925054,130,5
8,4328729,9875,31
9,6457946,757,11
0,4025405,593,9
1,4054622,703,16
2,3617676,526,19
3,3663027,119,4
4,6453838,1013,29
5,4560432,1221,19
6,3860243,4773,8
7,4925946,139,5
8,4329054,9872,31
9,6459892,1058,11
0,4026649,597,9
1,4047162,672,16
2,3614676,456,19
3,3662243,108,5
4,6455108,1006,29
5,4556217,1176,19
6,3859649,4768,8
7,4925163,130,5
8,4328811,9876,31
9,6458135,808,11
0,4018432,503,9
1,4042406,655,16
2,3615865,482,19
3,3662324,105,4
4,6452784,984,29
5,4556838,1165,19
6,3859514,4765,8
7,4925162,111,5
8,4328837,9875,31
9,6458244,787,11
0,4017162,496,9
1,4048973,670,16
2,3615973,479,19
3,3662108,109,4
4,6451271,973,29
5,4555216,1164,19
6,3859919,4766,8
7,4925351,128,5
8,4329297,9877,31
9,6457378,749,11
0,4019487,521,9
1,4047000,668,16
2,3614622,454,19
3,3662270,107,4
4,6452432,986,29
5,4555703,1167,19
6,3860297,4765,8
7,4925567,133,5
8,4329271,9876,31
9,6457918,742,11
0,4017918,498,9
1,4044567,639,16
2,3615406,480,19
3,3664270,103,4
4,6454405,1000,29
5,4554081,1151,19
6,3859892,4766,8
7,4924919,113,5
8,4328783,9879,31
9,6457919,773,11
0,4018162,512,9
1,4045000,662,16
2,3615486,477,19
3,3662270,106,5
4,6451514,976,29
5,4556000,1170,19
6,3859703,4769,8
7,4925243,118,5
8,4328730,9874,31
9,6457865,779,11
0,4016756,497,9
1,4044108,666,16
2,3613946,451,19
3,3662027,106,4
4,6451946,986,29
5,4555216,1156,19
6,3859378,4765,8
7,4924973,114,5
8,4328784,9874,31
9,6458000,727,11
0,4027595,628,9
1,4053460,697,16
2,3618405,534,19
3,3662594,122,4
4,6453919,1012,29
5,4559567,1217,19
6,3860702,4760,8
7,4925946,143,5
8,4329000,9881,31
9,6462405,1091,11
0,4023594,574,9
1,4041648,675,16
2,3616027,493,19
3,3662649,114,4
4,6455757,1009,29
5,4557135,1187,19
6,3860459,4770,8
7,4925432,130,5
8,4328838,9877,31
9,6458676,849,11
0,4019730,524,9
1,4042811,660,16
2,3614081,458,19
3,3662027,108,4
4,6453324,991,29
5,4555459,1174,19
6,3860487,4767,8
7,4925648,129,5
8,4329162,9876,31
9,6458189,828,11
0,4018297,500,9
1,4046352,643,16
2,3615703,479,19
3,3662595,109,4
4,6453162,1000,29
5,4553243,1143,19
6,3860379,4759,8
7,4925514,129,5
8,4329217,9878,31
9,6458514,832,11
0,4020433,520,9
1,4053595,676,16
2,3616108,481,19
3,3662352,111,5
4,6451189,980,29
5,4554594,1168,19
6,3860325,4785,8
7,4925567,130,5
8,4329054,9878,31
9,6457892,811,11
0,4016487,502,9
1,4044433,656,16
2,3614324,455,19
3,3664811,111,4
4,6454487,995,29
5,4555595,1167,19
6,3860352,4775,8
7,4925351,115,5
8,4329433,9874,31
9,6460000,782,11
0,4016784,503,9
1,4046973,639,16
2,3665892,478,19
3,3664568,109,4
4,6454568,990,29
5,4555892,1151,19
6,3860351,4781,8
7,4925081,113,5
8,4328973,9875,31
9,6459378,743,11
0,4016108,495,9
1,4045189,676,16
2,3615865,470,19
3,3662487,107,5
4,6453108,974,29
5,4554730,1156,19
6,3860000,4786,8
7,4924973,130,5
8,4328865,9876,31
9,6459297,752,11
0,4024000,609,9
1,4049973,701,16
2,3617622,522,19
3,3662541,119,4
4,6454081,1013,29
5,4559000,1208,19
6,3859757,4786,8
7,4925946,144,5
8,4329351,9879,31
9,6462027,1169,11
0,4022541,578,9
1,4043406,667,16
2,3615541,485,19
3,3662135,110,5
4,6454189,1000,29
5,4556676,1168,19
6,3860270,4785,8
7,4925433,116,5
8,4328756,9875,31
9,6460189,837,11
0,4019136,521,9
1,4042298,660,16
2,3614919,476,19
3,3662135,109,4
4,6451216,974,29
5,4557298,1171,19
6,3860784,4781,8
7,4925487,134,5
8,4328919,9877,31
9,6460378,881,11
0,4017621,502,9
1,4042919,660,16
2,3613703,443,19
3,3662189,107,4
4,6452027,979,29
5,4556297,1162,19
6,3860270,4781,8
7,4925162,113,5
8,4328973,9878,31
9,6458486,808,11
0,4018919,518,9
1,4046081,668,16
2,3614433,469,19
3,3662243,105,4
4,6456000,976,29
5,4551973,1136,19
6,3860081,4783,8
7,4925162,129,5
8,4328622,9877,31
9,6458514,836,11
0,4016297,506,9
1,4049595,656,16
2,3614757,468,19
3,3662271,103,4
4,6450865,976,29
5,4551621,1143,19
6,3860297,4763,8
7,4925595,115,5
8,4328703,9878,31
9,6459729,796,11
0,4018730,501,9
1,4043621,661,16
2,3613189,437,19
3,3662216,104,5
4,6452162,983,29
5,4552783,1142,19
6,3860352,4764,8
7,4925568,133,5
8,4328784,9878,31
9,6459216,782,11
0,4017595,495,9
1,4048352,650,16
2,3614595,470,19
3,3662459,109,5
4,6450244,978,29
5,4551648,1124,19
6,3859729,4766,8
7,4925378,131,5
8,4329054,9878,31
9,6457811,755,11
0,4026513,602,9
1,4047513,698,16
2,3618108,535,19
3,3662649,118,5
4,6454487,1011,29
5,4560757,1221,19
6,3860891,4788,8
7,4925405,128,5
8,4329136,9881,31
9,6462919,1155,11
0,4023162,561,9
1,4044838,672,16
2,3614378,450,19
3,3662621,112,4
4,6454919,993,29
5,4556108,1163,19
6,3860648,4765,8
7,4925054,116,5
8,4329513,9872,31
9,6459757,837,11
0,4017487,507,9
1,4046811,657,16
2,3615243,470,19
3,3662216,110,5
4,6451135,974,29
5,4552378,1138,19
6,3860216,4758,8
7,4925108,119,5
8,4328837,9875,31
9,6458405,810,11
0,4017270,491,9
1,4047810,657,16
2,3615297,469,19
3,3662324,108,4
4,6452054,967,29
5,4553054,1149,19
6,3860108,4767,8
7,4925162,132,5
8,4328946,9873,31
9,6458189,793,11
0,4018324,500,9
1,4051190,662,16
2,3614163,448,19
3,3662351,107,5
4,6452541,976,29
5,4553162,1151,19
6,3859756,4768,8
7,4925000,114,5
8,4328649,9871,31
9,6458459,860,11
0,4017594,495,9
1,4049406,651,16
2,3614648,465,19
3,3664540,109,4
4,6452648,984,29
5,4551378,1130,19
6,3860270,4768,8
7,4925109,129,5
8,4328757,9871,31
9,6459892,788,11
0,4016972,492,9
1,4049243,664,16
2,3664702,468,19
3,3661919,109,5
4,6452054,975,29
5,4553973,1152,19
6,3859892,4769,8
7,4924865,114,5
8,4328649,9872,31
9,6458540,835,11
0,4017756,500,9
1,4040703,662,16
2,3613784,450,19
3,3662406,108,4
4,6451460,984,29
5,4555919,1153,19
6,3859595,4766,8
7,4925054,114,5
8,4328865,9877,31
9,6458379,794,11
0,4025000,596,9
1,4054405,678,16
2,3618163,535,19
3,3662703,119,5
4,6452919,1014,29
5,4554837,1184,19
6,3860271,4778,8
7,4925838,143,5
8,4328838,9888,31
9,6461757,1074,11
0,4022514,578,9
1,4047189,671,16
2,3615135,481,19
3,3662297,111,4
4,6453784,1001,29
5,4555243,1159,19
6,3860648,4774,8
7,4925379,115,5
8,4328946,9879,31
9,6458513,871,11
0,4018946,537,9
1,4049892,663,16
2,3613784,457,19
3,3662297,114,4
4,6453730,987,29
5,4555082,1163,19
6,3860027,4772,8
7,4925081,120,5
8,4329135,9876,31
9,6457648,810,11
0,4016351,486,9
1,4046432,644,16
2,3615108,471,19
3,3662514,112,5
4,6453325,985,29
5,4551702,1121,19
6,3860108,4765,8
7,4924919,115,5
8,4328946,9874,31
9,6459595,731,11
0,4018378,512,9
1,4047297,663,16
2,3614730,471,19
3,3662351,109,4
4,6449513,969,29
5,4554568,1154,19
6,3860459,4766,8
7,4925378,133,5
8,4328919,9875,31
9,6457811,762,11
0,4016433,497,9
1,4047946,657,16
2,3613973,451,19
3,3662460,109,4
4,6453162,982,29
5,4552432,1143,19
6,3859784,4772,8
7,4925594,116,5
8,4328810,9880,31
9,6457702,749,11
0,4017108,496,9
1,4049595,642,16
2,3615405,477,19
3,3662324,108,4
4,6453351,983,29
5,4552352,1128,19
6,3860243,4770,8
7,4925432,111,5
8,4329054,9878,31
9,6457622,788,11
0,4017433,498,9
1,4042487,655,16
2,3614919,468,19
3,3662324,110,4
4,6452325,974,29
5,4552298,1138,19
6,3861162,4764,8
7,4925000,111,5
8,4329108,9873,31
9,6457946,774,11
0,4024756,604,9
1,4049405,693,16
2,3616081,506,19
3,3662514,120,4
4,6456919,1019,29
5,4558946,1202,19
6,3860702,4796,8
7,4925595,139,5
8,4329054,9876,31
9,6462541,1168,11
0,4022811,580,9
1,4037811,641,16
2,3616081,482,19
3,3662703,109,5
4,6452784,993,29
5,4552271,1130,19
6,3860784,4770,8
7,4925000,131,5
8,4328838,9877,31
9,6460000,889,11
0,4018973,517,9
1,4041568,672,16
2,3614946,475,19
3,3662595,112,4
4,6451676,976,29
5,4553595,1149,19
6,3860000,4767,8
7,4925081,132,5
8,4329027,9876,31
9,6457297,781,11
0,4018783,513,9
1,4044486,656,16
2,3614324,456,19
3,3662487,110,5
4,6453324,983,29
5,4553027,1126,19
6,3859892,4771,8
7,4925405,133,5
8,4328811,9878,31
9,6459432,789,11
0,4018838,513,9
1,4044000,651,16
2,3615972,477,19
3,3664703,108,5
4,6451972,983,29
5,4551027,1123,19
6,3860135,4767,8
7,4925297,117,5
8,4328892,9875,31
9,6457351,727,11
0,4017270,500,9
1,4045622,661,16
2,3614756,466,19
3,3662189,104,4
4,6450217,975,29
5,4552270,1132,19
6,3860324,4769,8
7,4925027,113,5
8,4328676,9879,31
9,6458649,801,11
0,4016703,484,9
1,4044000,651,16
2,3613837,446,19
3,3662270,107,4
4,6452703,986,29
5,4552027,1129,19
6,3859837,4753,8
7,4925432,112,5
8,4329081,9879,31
9,6457675,714,11
0,4017109,486,9
1,4045244,639,16
2,3614864,466,19
3,3662189,102,4
4,6452675,983,29
5,4553189,1128,19
6,3860054,4764,8
7,4925541,112,5
8,4329081,9876,31
9,6457595,737,11
0,4025054,608,9
1,4053595,699,16
2,3618054,538,19
3,3662892,116,4
4,6454486,1006,29
5,4559433,1194,19
6,3860190,4784,8
7,4925541,145,5
8,4328865,9881,31
9,6461405,1082,11
0,4024271,585,9
1,4042325,676,16
2,3614406,454,19
3,3662406,111,5
4,6453487,1001,29
5,4552702,1141,19
6,3860270,4773,8
7,4925162,130,5
8,4329325,9874,31
9,6459054,766,11
0,4018460,516,9
1,4044865,646,16
2,3665216,475,19
3,3662433,114,4
4,6451973,977,29
5,4551324,1124,19
6,3860189,4783,8
7,4924919,130,5
8,4329000,9872,31
9,6459460,791,11
0,4017244,496,9
1,4047568,671,16
2,3615352,470,19
3,3662541,112,5
4,6451378,982,29
5,4552351,1138,19
6,3859757,4779,8
7,4924838,113,5
8,4329135,9876,31
9,6459540,776,11
0,4018135,498,9
1,4044568,671,16
2,3613730,444,19
3,3662216,110,4
4,6453352,981,29
5,4552487,1136,19
6,3859783,4762,8
7,4924973,131,5
8,4328595,9874,31
9,6457675,772,11
0,4016676,484,9
1,4042649,640,16
2,3614892,470,19
3,3662243,107,4
4,6454622,991,29
5,4551837,1126,19
6,3859784,4768,8
7,4925324,115,5
8,4328595,9873,31
9,6457946,766,11
0,4017108,500,9
1,4044756,669,16
2,3615189,471,19
3,3662054,110,5
4,6451676,972,29
5,4553162,1141,19
6,3860622,4771,8
7,4925298,113,5
8,4328811,9871,31
9,6457459,737,11
0,4018297,503,9
1,4045325,664,16
2,3613324,445,19
3,3662378,111,4
4,6452378,978,29
5,4553217,1126,19
6,3860351,4772,8
7,4925351,131,5
8,4329082,9872,31
9,6458405,815,11
0,4024594,594,9
1,4052162,671,16
2,3617081,514,19
3,3662325,121,5
4,6454811,1016,29
5,4555405,1177,19
6,3860027,4781,8
7,4925352,119,5
8,4328892,9881,31
9,6460244,1068,11
0,4024054,592,9
1,4044460,654,16
2,3615567,478,19
3,3662460,113,4
4,6452135,996,29
5,4553351,1147,19
6,3860081,4781,8
7,4925325,113,5
8,4328622,9875,31
9,6458081,825,11
0,4018568,501,9
1,4046514,650,16
2,3664054,459,19
3,3662649,113,4
4,6453135,988,29
5,4552729,1150,19
6,3859459,4768,8
7,4925595,114,5
8,4329108,9879,31
9,6459865,795,11
0,4018973,499,9
1,4049811,630,16
2,3615216,476,19
3,3662244,108,4
4,6451297,980,29
5,4552433,1132,19
6,3859892,4767,8
7,4925351,113,5
8,4329000,9876,31
9,6457919,809,11
0,4017676,506,9
1,4039838,648,16
2,3615271,472,19
3,3662216,110,5
4,6451811,979,29
5,4553783,1146,19
6,3859838,4761,8
7,4925567,115,5
8,4328811,9874,31
9,6457973,773,11
0,4016541,499,9
1,4046702,652,16
2,3663135,444,19
3,3662189,110,4
4,6453973,997,29
5,4552649,1134,19
6,3860676,4763,8
7,4925541,131,5
8,4329054,9875,31
9,6458216,807,11
0,4017648,489,9
1,4044000,645,16
2,3614892,467,19
